song,artist,release_year,composed,genre,appearances,also_performed_by,rating
1812 Overture Finale,,2008,Pyotr Il'yich Tchaikovsky,None,1,4,None
Jingle Bells,The Chipmunks,1962,James Pierpont,Happy,3,1024,2
My Funny Valentine,Jackie Gleason,1953,Lorenz Hart,Easy,6,2,3.3
2 the Night (Fast Cars/4 Frank),Ottmar Liebert,1990,Ottmar Liebert,New,2,2,4.25
21 Momstars,AGF / Delay Team / Helado Negro / Mouse on Mars,2014,Helado Negro,None,1,0,3.5
24K Magic,Kidz Bop Kids,2001,Christopher Brown,None,12,3,2.5
2K007,Dan the Automator,2006,Dan Nakamura,None,1,0,3
Body and Soul,Jackie Gleason,1953,Frank Eyton,Easy,5,3,3.3
"36 Mesostics re and not re Marcel Duchamp, for solo voice (any range)",John Cage,1998,John Cage,None,1,0,5
37th Secret,Raymond Scott / Raymond Scott & His Orchestra,2020,Raymond Scott,None,1,0,3.5
Yesterday,James Last,1965,John Lennon,Easy,9,668,4
"4'33""",John Cage,2002,John Cage,None,2,7,3.5
Autumn Leaves,Coldcut,1995,Joseph Kosma,Electronic,17,0,2.233333333
Winter Wonderland,Boston Pops Orchestra,1959,Felix Bernard,Happy,2,780,2.5
Winter Wonderland,Boston Pops Orchestra,1959,Felix Bernard,Happy,2,780,2.5
6 Romanian Folk Dances,Béla Bartók,1999,Béla Bartók,None,1,0,3
66 Highway Blues,Arlo Guthrie / Pete Seeger,2001,Woody Guthrie,None,2,1,3
Winter Wonderland,Boston Pops Orchestra,1959,Felix Bernard,Happy,2,780,2.5
"8 1/2, film score~Excerpt",Federico Fellini / Nino Rota,2007,Nino Rota,None,1,2,2.5
Ave Maria,Plácido Domingo,1934,Franz Schubert,Classical,4,0,2.6
900 Miles,Bess & Butch / Woody Guthrie / Bess Lomax Hawes / Butch Hawes / Cisco Houston,1995,Woody Guthrie,None,1,6,3.5
A  Pretty Girl Is Like a Melody,Jackie Gleason,Unknown,Irving Berlin,None,3,86,3.333333333
A  Pretty Girl Is Like a Melody,Jackie Gleason,Unknown,Irving Berlin,None,3,86,3.333333333
A  Swan Song for Nina,,2018,Pyotr Il'yich Tchaikovsky,None,1,0,None
Rudolph the Red-Nosed Reindeer,Boston Pops Orchestra / Arthur Fiedler,1970,Johnny Marks,Easy,4,4,3.625
The Little Drummer Boy,Vienna Boys' Choir,1995,Katherine K. Davis,Spiritual,7,0,2.7
A Bach Recital: Partita No. 3 in E Major BWV 1006: Gavotte en Rondeau,Andrés Segovia,2001,Johann Sebastian Bach,None,1,0,2.5
A Bach Recital: Partita No. 3 in E Major BWV 1006: Gavotte en Rondeau,Andrés Segovia,2001,Johann Sebastian Bach,None,1,0,2.5
Rudolph the Red-Nosed Reindeer,Boston Pops Orchestra / Arthur Fiedler,1970,Johnny Marks,Easy,4,1,3.625
A Bit I Stole From Dave Attell!,David Cross,2016,David Cross,None,1,0,None
A Boy Named Sue,Johnny Cash / Shel Silverstein,2005,Shel Silverstein,Country,1,23,4.3
Body and Soul,Jackie Gleason,1953,Frank Eyton,Easy,5,4,3.3
A Brand New Shore,Christopher Gaze / Alessandro Juliani / Kelly Sheridan / Steve Marvel / Susan Roman / Kelly Sheridan,2007,Megan Cavallari,None,1,0,None
A Virgin Most Pure (English),Cambridge Singers / City of London Sinfonia / John Rutter,1987,Traditional,Rousing,2,0,4.5
Someone to Watch over Me,Ella Fitzgerald,1950,George Gershwin,Jazz,64,2,3.8
A Chorus Line: Overture,Erich Kunzel / Rochester Pops,1989,Alex North,None,2,0,None
A Christmas Carol,Chanticleer,2012,Charles Ives,None,5,4,None
Begin the Beguine,Xavier Cugat,1954,Cole Porter,Latin,12,0,2.9
The Man I Love,Jackie Gleason,1957,George Gershwin,Easy,7,3,3.6
A**hole of the Dance,Denis Leary,1997,Denis Leary,Mischief,1,0,4.5
Akehlulek' Ubaba,Ladysmith Black Mambazo,1998,Joseph Shabalala,Pop/Rock,3,0,4.5
A Fi Eni Oluwa Koyo,Ebenezer Obey,1985,Chief Commander Ebenezer Obey,None,1,0,5
Akehlulek' Ubaba,Ladysmith Black Mambazo,1998,Joseph Shabalala,Pop/Rock,3,0,4.5
A Fine Romance,Jerome Kern,1991,Jerome Kern,None,1,29,3
A Flower Is a Lovesome Thing,Vince Guaraldi Trio,1957,Billy Strayhorn,None,2,159,3.75
A Foggy Day,Dick Hyman,1989,George Gershwin,None,1,362,2.5
A Fool Such as I,Hank Snow,1971,Hank Snow,None,18,0,3.6
A Four-Legged Friend,Roy Rogers,1999,Dale Evans,None,9,0,4.5
A Freylekhn Nakht in Gan Eydn,Klezmer Conservatory Band,2000,None,None,1,0,4
A Freylekhn Nakht in Gan Eydn,Klezmer Conservatory Band,2000,Traditional,None,1,0,4
A Front Row Seat to Hear Ole Johnny Sing,Shel Silverstein,1972,Shel Silverstein,None,1,2,4.5
Stardust,Doc Severinsen,1982,Hoagy Carmichael,Laid-Back/Mellow,3,1,3.333333333
A Happy Winter Song,Rachel Buchman,2000,Rachel Buchman,None,1,0,3
A Hard Rain's A-Gonna Fall,Pete Seeger,1963,Bob Dylan,Reflective,5,45,4
A Heymisher Bulgar,Klezmer Conservatory Band,1991,Abe Ellstein,None,1,0,4.5
A Heymisher Bulgar,Klezmer Conservatory Band,1991,Abe Ellstein,None,1,0,4.5
Stardust,Henry Mancini,1922,Hoagy Carmichael,Classical,7,0,1.933333333
Winter Wonderland,Bing Crosby,1962,Felix Bernard,Happy,58,0,2.166666667
A Huge Evergrowing Pulsating Brain That Rules From the Centre of the Ultraworld,The Orb,1998,Jimmy Cauty,None,2,0,4
A Light in the Attic,Shel Silverstein,1985,Shel Silverstein,None,2,0,4.25
Ave Maria,Plácido Domingo,1934,Franz Schubert,Classical,4,0,2.2
The Man I Love,Jackie Gleason,1957,George Gershwin,Easy,7,2,3.6
The First Noel,Trans-Siberian Orchestra,2005,Traditional,Ethereal,5,539,3
A Little Pretty Bonny Lass,King's Singers,1987,John Farmer,None,2,0,2
A Little Pretty Bonny Lass,King's Singers,1987,John Farmer,None,2,0,2
A Lovely Way to Spend an Evening,Engelbert Humperdinck,1997,Tony Renis,None,17,0,2.333333333
A Man Without Love,Engelbert Humperdinck,1966,Roberto Livraghi,,17,6,3.454545455
A Marshmallow World,Brenda Lee,1995,Peter DeRose,None,38,48,3
A Midnight Farewell,Harry Partch,1995,Harry Partch,None,1,0,4
A Midnight Farewell,Harry Partch,1995,Harry Partch,None,1,0,4
"A Midsummer Night's Dream, incidental music, Op. 61~Wedding March",Eugene Ormandy,2018,Felix Mendelssohn,None,1,26,None
Winter Wonderland,Mitch Miller & the Gang,1961,Felix Bernard,Holiday,5,2,3.1
Blackbird,King's Singers,1928,John Lennon,Classical,4,0,2.85
Girl From Ipanema,Arthur Fiedler / Stan Getz,1966,Vinícius de Moraes,International,1,321,3
Girl From Ipanema,Arthur Fiedler / Stan Getz,1966,Vinícius de Moraes,International,1,321,3
A New Voice Spoke,Metropolitan Symphony Orchestra / Marlo Thomas / Turtle Creek Chorale / Women's Chorus of Dallas,2000,Joe Martin,None,1,1,2.5
I'll Fly Away,Alison Krauss / Gillian Welch,2006,Albert E. Brumley ,Folk,6,269,2.75
A Rainbow in Curved Air,Terry Riley,2012,Terry Riley,None,1,0,None
"A Rainbow in Curved Air, for electric piano, dumbak & tambourines (partially improvised)",Terry Riley,1969,Terry Riley,None,1,0,5
Caravan,Dick Hyman,1989,Duke Ellington,Jazz,2,3,3.05
Fly Me to the Moon,Astrud Gilberto,1965,Bart Howard,Easy,54,3,3.555555556
Allah Hoo Allah Hoo,Nusrat Fateh Ali Khan,1992,Nusrat Fateh Ali Khan,International,3,0,4.5
A Song of One,Tom Chapin,1990,Tom Chapin,None,2,0,3
A Spoonful of Sugar,Julie Andrews,1963,Richard M. Sherman,Stage,15,24,4.3
A Taste of Honey,Les Baxter,2012,Les Baxter,None,7,0,None
A'soalin',"Peter, Paul and Mary",1963,Noel Paul Stookey,Sentimental,2,0,4.875
A Taste of the Blues,Heather Bishop,1987,Heather Bishop,None,1,0,5
I'll Be Home for Christmas,Jackie Gleason,1956,Kim Gannon,Easy,8,4,3.333333333
A Thousand Shades of Red and Blue,Tish Hinojosa,2005,Tish Hinojosa,None,1,0,3.5
A Time for Us,Ray Conniff,1986,Larry Kusic,Easy,7,1,4.125
I'll Be Home for Christmas,Jackie Gleason,1956,Kim Gannon,Easy,8,3,3.333333333
A Trumpeter's Lullaby,Leroy Anderson,1967,Leroy Anderson,None,5,17,4.666666667
"A View to a Kill, film score~View to a Kill",John Barry / Duran Duran,1985,John Barry,None,1,0,3
"A View to a Kill, film score~View to a Kill",John Barry / Duran Duran,1985,John Barry,None,1,0,3
Ataypura,Yma Sumac,1950,Moisés Vivanco,Easy,1,0,4.5
A virgin unspotted,Chanticleer,1995,William Billings,None,2,4,3.75
Banana,The Jolly Boys,1989,None,International,1,0,4.5
Yesterday,Plácido Domingo,1921,John Lennon,Classical,6,0,1.866666667
A Woman Like You,Bert Jansch,1969,Bert Jansch,Pop/Rock,8,2,4.125
But Not for Me,Ella Fitzgerald,1950,George Gershwin,Jazz,35,3,3.966666667
Rudolph the Red-Nosed Reindeer,Burl Ives,1965,Johnny Marks,Happy,81,0,1.823529412
A Yor Nokh Mayn Khasene,Klezmer Conservatory Band,1992,Traditional,None,2,0,4.25
A Yor Nokh Mayn Khasene,Klezmer Conservatory Band,1992,Traditional,None,2,0,4.25
Big Bamboo,The Jolly Boys,1989,None,International,1,0,4.5
Ékabo,Masters at Work / Wunmi,2000,Fela Kuti & Africa 70,None,1,0,2.5
Abaculi Bethu,Mahotella Queens,2022,Ntombizodwa Bopape,None,1,0,None
Abezizwe,Ladysmith Black Mambazo,2000,Joseph Shabalala,None,3,0,3.75
Abezizwe,Ladysmith Black Mambazo,2000,None,None,3,0,3.75
Let It Snow! Let It Snow! Let It Snow!,Bing Crosby,1962,Sammy Cahn,Happy,46,0,1.714285714
I'll Be Home for Christmas,Bing Crosby,1943,Kim Gannon,Holiday,83,2,3.191176471
Abyss,John Carpenter,2015,None,None,1,0,None
Accla Taqui,Yma Sumac,1950,Les Baxter,None,1,0,4.5
Love For Sale,Sergio Mendes,1961,Cole Porter,International,9,722,3.5
'Round Midnight,Charles Brown,1992,Bernie Hanighen,Jazz,7,3,3.4
As Time Goes By,Liberace,1962,Herman Hupfeld,Easy,12,12,3.857142857
Yesterday,Plácido Domingo,1921,John Lennon,Classical,6,0,2.266666667
Across the Blue Mountains,Robin & Linda Williams,1988,Traditional,None,1,6,4.5
Act Naturally,Buck Owens,2005,Buck Owens,None,17,0,5
Actionist Respoke,Mouse on Mars,2000,Dodo Nkishi,Electronic,3,0,3.4
Trouble in Mind,Lightnin' Hopkins,1960,Richard M. Jones,Blues,18,265,3
"Adagio in B minor, K. 540~",Vladimir Horowitz,2019,Wolfgang Amadeus Mozart,None,1,8,None
Adam: O Holy Night,Aida Garifullina / Schubert-Akademie / Vienna Boys' Choir / Gerald Wirth,2019,Adolphe Adam,None,8,2,None
Adam: O Holy Night,Aida Garifullina / Schubert-Akademie / Vienna Boys' Choir / Gerald Wirth,2019,Adolphe Adam,None,8,2,None
Adeste Fideles,Vienna Boys' Choir,1992,George Frederick Handel,None,5,0,3
Adeste Fideles,Vienna Boys' Choir,1992,George Frederick Handel,None,5,0,3
They Can't Take That Away from Me,Ray Conniff,1957,George Gershwin,Easy,5,4,3.75
Ave Maria,Gheorghe Zamfir,1980,Franz Schubert,Easy,6,4,3.375
Adore,Chris Tomlin,2015,Martin Chalk,None,13,0,None
Aeronautics,Justice,1999,Gaspard Augé,None,2,0,2.75
Cheek to Cheek,Louis Armstrong / Ella Fitzgerald,1956,Irving Berlin,Jazz,93,32,3.621428571
Afreen Afreen,Nusrat Fateh Ali Khan,1985,None,None,7,0,3.5
Corcovado (Quiet Nights of Quiet Stars),Stan Getz / Astrud Gilberto / João Gilberto / Antônio Carlos Jobim,2002,Antônio Carlos Jobim,Easy,17,262,3
African Secret Society,Hugh Masekela,1964,Tony Allen,None,2,0,3
African Woman,The Bhundu Boys,1987,Biggie Tembo,None,1,0,4.5
How High the Moon,Ella Fitzgerald,1955,Nancy Hamilton,Jazz,84,23,3.623529412
You've Got a Friend,Ofra Haza,1997,Carole King,Romantic,3,245,3
After Hours,Pinetop Perkins,1988,Erskine Hawkins,None,2,58,3.75
'S Wonderful,Ray Conniff,1956,George Gershwin,Easy,18,468,3.95
Sleigh Ride,Ella Fitzgerald,1960,Leroy Anderson,Blues,202,457,3.65
Sleigh Ride,Ella Fitzgerald,1960,Leroy Anderson,Blues,202,457,3.65
After the Gold Rush,King's Singers,1927,Neil Young,Classical,5,54,3.433333333
Memory,Royal Philharmonic Orchestra,1987,T.S. Eliot,Easy,8,168,3
After the Gold Rush,King's Singers,1927,Neil Young,Classical,5,54,3.033333333
Rudolph the Red-Nosed Reindeer,Gene Autry,1957,Johnny Marks,Country,68,0,3.175
Aftermath,Tricky,1993,Adrian Nicholas Thaws,None,8,0,4
Aftermath,Nightmares on Wax,2009,George Evelyn,None,4,0,4
Joy to the World,Eugene Ormandy,1927,Lowell Mason,Classical,2,0,1.85
Agon: Ballet for Twelve Dancers: Double Pas-De-Quatre,Igor Stravinsky,2021,Igor Stravinsky,None,1,0,None
Agon: Ballet for Twelve Dancers: First Pas-De-Trois: Saraband-Step,Igor Stravinsky,2021,Igor Stravinsky,None,1,0,None
Agon: Ballet for Twelve Dancers: Gaillarde,Igor Stravinsky,2021,Igor Stravinsky,None,1,0,None
Agon: Ballet for Twelve Dancers: Pas-De-Quatre,Igor Stravinsky,2021,Igor Stravinsky,None,1,0,None
Agon: Ballet for Twelve Dancers: Prélude,Igor Stravinsky,2021,Igor Stravinsky,None,1,0,None
Agon: Ballet for Twelve Dancers: Triple Pas-De-Quatre,Igor Stravinsky,2021,Igor Stravinsky,None,1,0,None
Rudolph the Red-Nosed Reindeer,Gene Autry,1957,Johnny Marks,Country,68,3,3.175
Rudolph the Red-Nosed Reindeer,Gene Autry,1957,Johnny Marks,Country,68,2,3.175
Aguanile,Willie Colón / Héctor Lavoe,1978,Willie Colón,Latin,130,9,4
Ah Ndiya,Oumou Sangaré,1989,Oumou Sangaré,International,11,1,4.333333333
Ah-Ah/O-No,Willie Colón,1972,Willie Colón,Romantic,51,5,4.166666667
The Shadow of Your Smile,Gheorghe Zamfir,1990,Johnny Mandel,Easy,1,416,4
Ahir Lalit,Ravi Shankar,1954,None,None,6,0,None
Rudolph the Red-Nosed Reindeer,Boston Pops Orchestra / Arthur Fiedler,1970,Johnny Marks,Easy,4,1,3.125
Ai Ga Bani,Toumani Diabaté / Ali Farka Touré,2005,Ali Farka Touré,International,3,0,4.25
Aia Mina,Cheb Khaled,1999,None,None,2,0,4.5
Aida~Act 1. Ritorna vincitor!,,1962,Giuseppe Verdi,None,25,7,4.25
Aida~Act II: Triumphal March and Chorus,Cincinnati Pops Orchestra,2009,Giuseppe Verdi,None,2,0,None
"Lover, Come Back to Me",Billie Holiday,1937,Oscar Hammerstein II,Jazz,74,43,3.517948718
Siboney,Plácido Domingo,1931,Ernesto Lecuona,Classical,8,168,2.6
Ain't Misbehavin',Dick Hyman,1989,Harry Brooks,None,1,484,4
Ain't No God in Mexico,Billy Joe Shaver,1976,Billy Joe Shaver,None,4,3,4
That Old Black Magic,Ella Fitzgerald,1953,Harold Arlen,Jazz,58,390,3.560869565
Ain't No Mountain High Enough,Diana Ross,1970,Nickolas Ashford,R&B,130,110,4.183673469
Days of Wine and Roses,Andy Williams,1963,Henry Mancini,Sentimental,26,389,4
"Ain't Nobody's Business, Pt. 1",Jimmy Witherspoon,1991,Porter Grainger,Brooding,10,0,3.9375
"Ain't Nobody's Business, Pt. 2",Jimmy Witherspoon,1991,Porter Grainger,Brooding,8,0,4.166666667
Rudolph the Red-Nosed Reindeer,Boston Pops Orchestra / Arthur Fiedler,1970,Johnny Marks,Easy,4,5,3.125
Besame Mucho,Ray Conniff,1960,Sunny Skylar,Easy,18,1,3.833333333
Don't Cry for Me Argentina,Richard Clayderman,1984,Andrew Lloyd Webber,Dramatic,22,164,2.6
Air on a G String,,2018,Johann Sebastian Bach,None,1,45,None
Aires de Navidad,Willie Colón / Héctor Lavoe / Yomo Toro,1973,Roberto García,None,68,7,4
Airport Security,Jackie Mason,2014,Jackie Mason,None,2,0,None
Stormy Monday,Albert King,1974,T-Bone Walker,Blues,11,158,3
John Henry,Woody Guthrie,1962,Traditional,Folk,18,0,1.642857143
Ajoyio,Ebenezer Obey,2011,Chief Commander Ebenezer Obey,None,1,0,3.5
I Can't Get Started,Jackie Gleason,1954,Vernon Duke,Easy,5,569,3.5
Akashic,Coldcut,1995,None,None,1,0,4
Big Rock Candy Mountain,Tom Chapin,1988,Tom Chapin,Children's,2,0,5
Bitch School,Spinal Tap,1992,David St. Hubbins,Pop/Rock,1,0,4.943661972
Akekho Noyedwa Owaziyo,Mahlathini,1990,B. J. Thusi,None,1,1,4.5
Akhian Udeek Diyan,Nusrat Fateh Ali Khan,1997,None,None,1,0,None
(They Long to Be) Close to You,Richard Clayderman,1996,Burt Bacharach,Easy,11,156,3
Al Fin Te VI,Ernesto Lecuona,1997,Ernesto Lecuona,None,2,5,3
Alap,Hariprasad Chaurasia,2004,None,None,5,0,None
"Alap, Jod, Gat",Hariprasad Chaurasia,2004,None,None,4,0,None
Albatross,Judy Collins,1967,Judy Collins,R&B,12,3,4.375
Moon River,Henry Mancini,1904,Henry Mancini,Classical,41,0,2.404347826
When the Saints Go Marching In,The Weavers,1951,Traditional,Folk,12,0,2.4
Bow Wow,"Johnny ""Guitar"" Watson",1994,"Johnny ""Guitar"" Watson",R&B,6,0,5
How Great Thou Art,The Statler Brothers,1969,Stuart K. Hine,Sentimental,19,2,3.590909091
Ale Brider,Klezmer Conservatory Band / Itzhak Perlman,1995,Traditional,None,2,2,4.25
Ale Brider,Klezmer Conservatory Band / Itzhak Perlman,1995,Traditional,None,2,2,4.25
Alejate,Josh Groban,2001,Marti Sharron,None,3,1,3.5
Alexander's Ragtime Band,Liberace,1991,Irving Berlin,Easy,2,259,None
Alexander's Ragtime Band,Irving Berlin,2012,Irving Berlin,None,3,0,None
Ali Mola,Dan the Automator / DJ Baba G,2002,Dan the Automator,None,1,0,3
John Henry,Woody Guthrie / Cisco Houston,1991,Traditional,Folk,6,0,1.6
Alice's Rock & Roll Restaurant,Arlo Guthrie,1969,Arlo Guthrie,Pop/Rock,11,0,4.456
Mack the Knife,Ella Fitzgerald,1960,Marc Blitzstein,Jazz,50,3,3.96
Alive After Death,John Carpenter,2021,Cody Carpenter,None,1,0,4
All About That Bass,Kidz Bop Kids,2015,Kevin Kadish,None,9,19,3
All Alone,Irving Berlin,2000,Irving Berlin,None,3,74,3
I Can't Get Started,Jackie Gleason,1954,Vernon Duke,Easy,5,569,3.5
Just a Closer Walk with Thee,Patsy Cline,1989,Traditional,Country,68,0,2.431578947
All Around You,Sturgill Simpson,2016,Sturgill Simpson,None,2,0,4.25
All by Myself,Jackie Gleason,1956,Irving Berlin,None,4,74,3.375
All by Myself,Jackie Gleason,1956,Irving Berlin,None,4,74,3.375
Begin the Beguine,Liberace,1990,Cole Porter,Easy,5,541,3.5
"all end, Pt. 1",Autechre,2018,Ronald Bronstein,None,2,0,4.25
"all end, Pt. 2",Autechre,2018,Ronald Bronstein,None,2,0,4.25
"all end, Pt. 3",Autechre,2018,Ronald Bronstein,None,2,0,4.25
I Cover the Waterfront,Billie Holiday,1937,Johnny Green,Jazz,77,4,3.661702128
But Not For Me,Jackie Gleason,1953,George Gershwin,Easy,10,515,3.5
Somewhere,Barbra Streisand,1985,Leonard Bernstein,Stage,8,3,3.714285714
Break Like the Wind,Spinal Tap,1992,David St. Hubbins,Pop/Rock,1,0,4.863636364
All I Want for Christmas Is You,Kidz Bop Kids,2012,Walter Afanasieff,None,19,141,2.5
Twelve Days of Christmas,Burl Ives,1942,Traditional,Classical,12,0,1.988888889
All in Love Is Fair,Barbra Streisand,1974,Stevie Wonder,Sentimental,6,76,4.2
The Breeze and I,Xavier Cugat,1997,Ernesto Lecuona,Latin,6,137,2.9
Blowin' in the Wind,Judy Collins,1994,Bob Dylan,R&B,7,2,3.625
"All my hope on God is founded (tune: Michael), for chorus",Stephen Cleobury / King's College Choir of Cambridge / Wallace Collection,2001,Robert Bridges,Optimistic,1,0,None
"All my hope on God is founded (tune: Michael), for chorus",Stephen Cleobury / King's College Choir of Cambridge / Wallace Collection,2001,Robert Bridges,Optimistic,1,0,None
Granada,Plácido Domingo,1931,Agustín Lara,Classical,6,0,1.95
Bullish,Herb Alpert,1987,Richard Hewson,Easy,2,0,4.5
All My Sorrows,The Kingston Trio,1959,Dave Guard,None,11,4,3.75
All My Trials,Joan Baez,2011,None,None,13,0,3
All Night Long,Tom Paxton,1969,Tom Paxton,None,4,1,3.666666667
All Night Long,Tom Paxton,1969,Tom Paxton,None,4,1,3.666666667
But Not For Me,Jackie Gleason,1953,George Gershwin,Easy,10,515,3.5
All Soul,Houston Person,2005,Ron Carter,None,2,0,3.5
All the Pretty Colors,Sturgill Simpson,2020,Sturgill Simpson,None,1,0,4.5
All the Things You Are,Dick Hyman,1998,Oscar Hammerstein II,None,1,980,None
All the Things You Are,Houston Person,2000,Oscar Hammerstein II,None,3,980,3.333333333
All Too Well,Taylor Swift,2012,Liz Rose,Country,6,2,4.05
Them There Eyes,Billie Holiday,1937,Maceo Pinkard,Jazz,94,3,3.544897959
Johnny B. Goode,Buck Owens,1969,Chuck Berry,Country,10,4,3.855555556
I've Got My Love to Keep Me Warm,Billie Holiday,1937,Irving Berlin,Vocal,99,236,4
Alla Cazza,King's Singers,1989,Anonymous,None,2,1,3
Alla Cazza,King's Singers,1989,Anonymous,None,2,1,3
How Deep Is Your Love,Richard Clayderman,1984,Barry Gibb,Easy,16,136,3
Calling All the Children Home,John McCutcheon,1991,John McCutcheon,Sentimental,2,0,4.5
"Allah, Mohammed, Char, Yaar",Diamanda Galás / Nusrat Fateh Ali Khan,1994,Nusrat Fateh Ali Khan,None,1,1,4.5
Allegretto pizzicato Végh Quartet,,2021,Béla Bartók,None,1,0,None
Alleluia. Nativitas,Jan Garbarek / The Hilliard Ensemble,2010,Pérotin,None,1,1,4.5
Alleluya! A Nywe Werk Is Come on Honde!,Anonymous 4,1993,Steve Reich,None,2,0,4
Alleluya! A Nywe Werk Is Come on Honde!,Anonymous 4,1993,None,None,2,0,4
Alma-Ville,Vince Guaraldi,1969,Vince Guaraldi,Jazz,2,1,4.3
Rockin' Around the Christmas Tree,Amy Grant,1992,Johnny Marks,Religious,19,236,3.7
Almost Good,David Seville,1958,Meredith Willson,None,3,0,None
Alone by the Ganges,Larry Coryell / L. Subramaniam,1999,None,None,1,0,4
Shenandoah,The Chieftains,2002,Traditional,Laid-Back/Mellow,3,218,4
Alone in the Crowd,Jackie Gleason,1958,Cy Coben,None,1,0,None
Alone in the Crowd,Jackie Gleason,1958,Cy Coben,None,1,0,None
I Saw Three Ships,Vienna Boys' Choir,1988,William Sandys,Holiday,3,2,3.666666667
Alphabet Soup,Tom Chapin,1989,Tom Chapin,None,2,1,4.5
Granada,Agustín Lara,1931,Agustín Lara,Classical,8,0,1.6
I Saw Three Ships,Vienna Boys' Choir,1988,William Sandys,Holiday,3,3,3.666666667
The Sound of Music,Julie Andrews,1994,Oscar Hammerstein II,Celebration,5,129,3
Annie's Song,James Galway,1918,John Denver,Classical,9,116,2.528571429
Kansas City,Albert King,1969,Jerry Leiber,Blues,9,209,3.75
Angels We Have Heard on High,The New Christy Minstrels,1995,Traditional,Folk,4,0,1.375
"Rudolph, The Red-Nosed Reindeer",The Chipmunks,1962,Johnny Marks,Comedy/Spoken,7,0,1.15
Careless Whisper,Richard Clayderman,1992,George Michael,Yearning,15,107,3
Hello,Richard Clayderman,1994,Lionel Richie,Easy,18,103,3
Evergreen,Henry Mancini,1977,Barbra Streisand,Easy,11,101,3
The Very Thought of You,Albert King,1967,Ray Noble,Blues,11,0,3.222222222
Am I That Easy to Forget?,Engelbert Humperdinck,1966,Carl Belew,None,15,25,3.944444444
Am I Too Fast for This Table?,Rodney Dangerfield,2008,Rodney Dangerfield,None,1,0,4
Amabhongo,Mahotella Queens,1993,Mildred Mangxola,None,3,0,4
Amampondo,Miriam Makeba,1963,None,None,6,0,4
Just a Closer Walk With Thee,Canadian Brass,1984,Traditional,Laid-Back/Mellow,4,2,3.333333333
Some Enchanted Evening,Perry Como,1949,Oscar Hammerstein II,Vocal,40,207,3.7
Amarcord,Nino Rota,2001,Nino Rota,None,4,0,None
This Land Is Your Land,The Weavers,1957,Woody Guthrie,Folk,14,0,1.923076923
Hark! The Herald Angels Sing,Amy Grant,2000,Traditional,Sentimental,19,202,4
Can't Take My Eyes off You,Andy Williams,1989,Doc Pomus,Pop/Rock,66,0,5
Amazing Grace,Judy Collins,1970,John Newton,R&B,18,100,4.2
This Land Is Your Land,Pete Seeger,1957,Woody Guthrie,Children's,12,201,3.85
Amazing Grace,Chanticleer / Rev. Yvette Flunder,2004,Traditional,Bittersweet,1,556,3.5
Just a Closer Walk With Thee,Canadian Brass,1984,Traditional,Laid-Back/Mellow,4,3,3.333333333
Amazing Grace,Ella Jenkins,2011,Ella Jenkins,None,1,0,3
Blackbird,King's Singers,1928,John Lennon,Classical,4,0,2.45
Send in the Clowns,Judy Collins,1975,Stephen Sondheim,Folk,35,0,2.043478261
Amazing Grace,Glen Campbell,1973,John Newton,None,16,84,2.2
Hark! The Herald Angels Sing,London Symphony Orchestra / Vienna Boys' Choir,1930,Felix Mendelssohn,Classical,8,0,1.1
Santa Claus is Comin' To Town,Boston Pops Orchestra / Arthur Fiedler,1935,J. Fred Coots,Classical,3,0,1.866666667
